perc_premium_paid_by_cash_credit,age_in_days,Income,Count_3-6_months_late,Count_6-12_months_late,Count_more_than_12_months_late,application_underwriting_score,no_of_premiums_paid,sourcing_channel,residence_area_type,premium,target,name,age,income,occupation,insurance,Occupation_Type,unique_id
0.033,29578,161970,0.0,0.0,0.0,,7,A,Rural,1200,1,Bobby Flores,34,281285,Teacher,MaxBupa Silver,White Collar,08405509254
0.482,20455,75050,0.0,0.0,0.0,98.15,9,A,Rural,7500,1,Mrs. Cheryl Roman MD,60,161135,Shopkeeper,MaxBupa Gold,Other,09484501561
0.046,27018,268560,0.0,0.0,0.0,99.87,10,A,Urban,22200,1,Tonya Gonzalez,21,304408,Shopkeeper,MaxBupa Gold,Other,06813001670
1.0,20090,149560,0.0,1.0,0.0,99.59,3,A,Rural,7500,0,Mary Rollins,59,884514,Doctor,Starlite Basic,White Collar,10512006087
0.098,23375,263720,0.0,0.0,0.0,99.05,10,B,Urban,11700,1,Jared Scott,44,983914,Doctor,MaxBupa Silver,White Collar,03268006669
0.007,14978,102050,0.0,0.0,0.0,97.76,12,C,Urban,5400,1,Mitchell Williams,56,282898,Shopkeeper,MaxBupa Silver,Other,01013405933
0.55,18626,225070,1.0,0.0,0.0,99.36,8,D,Urban,9600,1,Penny Boyer,25,21836,Student,MaxBupa Silver,White Collar,06985208829
0.005,10232,63020,0.0,0.0,0.0,99.44,8,A,Urban,5400,1,Stephanie Jones,19,332208,Nurse,MaxBupa Gold,Other,05894607945
0.0,30668,210140,0.0,0.0,0.0,,4,A,Rural,18000,1,Lisa Castro,55,256260,Teacher,Starlite Premium,White Collar,01957403508
0.188,10590,100100,0.0,0.0,0.0,99.29,7,A,Rural,5400,1,Eric Ortega,44,475214,Software Engineer,Starlite Basic,White Collar,09841902002
0.009,29575,184860,0.0,0.0,0.0,99.89,7,A,Urban,11700,1,Donald Sanchez,56,275888,Farmer,Starlite Premium,Blue Collar,05632705866
0.092,10229,90080,2.0,0.0,0.0,99.7,9,A,Rural,5400,1,Terrence Smith,50,117982,Farmer,Starlite Premium,Blue Collar,09567500168
1.0,10959,213800,0.0,0.0,0.0,99.45,7,B,Rural,26400,1,Mr. Daniel Romero,43,297833,Construction Worker,MaxBupa Silver,Blue Collar,06984602588
0.534,16802,155070,0.0,0.0,0.0,98.53,14,A,Rural,13800,1,Danielle Cruz,58,238854,Construction Worker,MaxBupa Silver,Blue Collar,04942105905
0.041,23365,87570,0.0,0.0,0.0,98.54,12,A,Rural,3300,1,Michael Carter,25,441793,Software Engineer,Starlite Basic,White Collar,10011609529
0.001,32493,56940,0.0,0.0,0.0,99.25,7,A,Urban,3300,1,Angelica Thomas,28,344545,Software Engineer,Starlite Basic,White Collar,08941106384
0.0,24465,65600,0.0,0.0,0.0,99.26,9,B,Rural,7500,1,Javier Carrillo,30,122073,Shopkeeper,MaxBupa Gold,Other,08408507824
0.006,29207,49670,0.0,0.0,0.0,99.55,4,A,Rural,3300,1,Edward Cook,57,427926,Teacher,MaxBupa Silver,White Collar,01401209779
0.011,33230,212540,0.0,0.0,0.0,,5,A,Urban,20100,1,Melissa Hill,26,331200,Nurse,Starlite Premium,Other,07550704629
0.036,11690,210040,0.0,0.0,0.0,99.49,18,A,Rural,9600,1,Charles Johnson,45,311975,Construction Worker,Starlite Basic,Blue Collar,08307008560
0.53,14976,46660,0.0,0.0,0.0,97.46,6,C,Urban,5700,1,Amanda Hall,46,289020,Construction Worker,Starlite Premium,Blue Collar,08935609291
0.005,30671,225120,0.0,0.0,0.0,,11,A,Rural,9600,1,Matthew Ibarra,16,46760,Student,MaxBupa Silver,White Collar,02389406874
0.993,10591,236700,0.0,0.0,0.0,99.64,9,A,Rural,9600,1,Richard Campbell,39,264687,Shopkeeper,Starlite Premium,Other,10507006521
0.0,18625,176960,0.0,0.0,0.0,98.77,14,D,Rural,11700,1,Karen Rowland,46,114018,Farmer,Starlite Basic,Blue Collar,04060908979
0.0,31766,159050,0.0,0.0,0.0,,7,A,Urban,11700,1,Yvonne Gonzalez,34,434918,Teacher,Starlite Basic,White Collar,08113406647
0.009,18622,195040,0.0,0.0,0.0,98.9,22,C,Rural,18000,1,Cristian Williams,29,303929,Shopkeeper,Starlite Basic,Other,03706109825
0.024,32127,60070,0.0,0.0,0.0,99.88,6,A,Urban,3300,1,Felicia Hernandez,59,436647,Software Engineer,Starlite Basic,White Collar,01014800210
0.691,14980,114850,0.0,0.0,0.0,99.57,5,C,Urban,9600,1,Joseph Martinez,51,545361,Software Engineer,MaxBupa Gold,White Collar,01060105278
0.087,10235,94360,0.0,0.0,0.0,98.91,8,A,Rural,7500,1,Shannon Landry,44,652010,Software Engineer,Starlite Basic,White Collar,09739301919
0.545,10597,155560,0.0,0.0,0.0,99.05,11,A,Urban,7500,1,Roy Kent,38,345914,Teacher,Starlite Basic,White Collar,01316800718
0.014,8044,27080,0.0,0.0,0.0,,4,A,Urban,1200,1,Mathew Hayes,22,323025,Software Engineer,MaxBupa Silver,White Collar,03550304868
1.0,10228,77760,0.0,0.0,1.0,99.53,3,B,Rural,5700,0,Tara Harris,54,162652,Nurse,Starlite Basic,Other,10470407834
0.41,27752,195150,0.0,0.0,0.0,98.78,15,B,Urban,13800,1,Matthew Sparks,41,620673,Doctor,MaxBupa Silver,White Collar,05957701298
